sample,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,76,34,0.8171,0.127,-0.2394,0.1577,0.841,-0.23261084588739445,-0.0009152262454246163,0.0013333333333333333,31
5y,76,35,0.8171,0.127,-0.2394,0.1577,0.841,-0.23261084588739445,-0.0009152262454246163,0.0013333333333333333,28
5y,76,36,0.8093,0.1261,-0.2394,0.1577,0.835,-0.23261084588739445,-0.0009152262454246163,0.0013333333333333333,30
5y,76,37,0.8093,0.1261,-0.2394,0.1577,0.835,-0.23261084588739445,-0.0009152262454246163,0.0013333333333333333,35
5y,76,38,0.821,0.1275,-0.2394,0.1578,0.843,-0.23261084588739445,0.005551713460654861,0.0,39
5y,76,39,0.8039,0.1254,-0.2394,0.1578,0.831,-0.23261084588739445,0.005551713460654861,0.0,42
5y,76,40,0.8039,0.1254,-0.2394,0.1578,0.831,-0.23261084588739445,0.005551713460654861,0.0,44
5y,76,41,0.7765,0.122,-0.2394,0.1588,0.807,-0.23261084588739445,-0.00970997805702245,0.004,46
5y,76,42,0.7765,0.122,-0.2394,0.1588,0.807,-0.23261084588739445,-0.00970997805702245,0.004,42
5y,76,43,0.7765,0.122,-0.2394,0.1588,0.807,-0.23261084588739445,-0.00970997805702245,0.004,40
5y,76,44,0.7857,0.1231,-0.2394,0.1592,0.812,-0.23261084588739445,-0.0045973352094443865,0.0026666666666666666,39
5y,76,45,0.7857,0.1231,-0.2394,0.1592,0.812,-0.23261084588739445,-0.0045973352094443865,0.0026666666666666666,38
5y,77,15,0.503,0.085,-0.2093,0.1361,0.67,-0.20223911136495443,-0.04803051828684246,0.044,14
5y,77,16,0.503,0.085,-0.2093,0.1361,0.67,-0.20223911136495443,-0.04803051828684246,0.044,15
5y,77,17,0.5653,0.0939,-0.2093,0.1399,0.714,-0.20223911136495443,-0.04803051828684246,0.044,21
5y,77,18,0.5653,0.0939,-0.2093,0.1399,0.714,-0.20223911136495443,-0.04803051828684246,0.044,21
5y,77,19,0.5772,0.0955,-0.2093,0.14,0.725,-0.20223911136495432,-0.04803051828684224,0.044,20
5y,77,20,0.5977,0.0984,-0.2093,0.1404,0.742,-0.20223911136495432,-0.04803051828684224,0.044,20
5y,77,21,0.747,0.1182,-0.2302,0.1497,0.824,-0.21862821168563729,-0.03901353318254419,0.016,24
5y,77,22,0.747,0.1182,-0.2302,0.1497,0.824,-0.21862821168563729,-0.03901353318254419,0.016,25
